"CompAOU","focalAOU","Competitor","Focal","CompSciName","FocalSciName","Family","FocalMass","CompMass","focalcat","compcat"
6450,6600,"Nashville Warbler","Bay-breasted Warbler","Vermivora ruficapilla","Dendroica castanea","Parulidae",12.75,9,"Dendroica_castanea","Vermivora_ruficapilla"
6450,6470,"Nashville Warbler","Tennessee Warbler","Vermivora ruficapilla","Vermivora peregrina","Parulidae",10.25,9,"Vermivora_peregrina","Vermivora_ruficapilla"
6450,6500,"Nashville Warbler","Cape May Warbler","Vermivora ruficapilla","Dendroica tigrina","Parulidae",11,9,"Dendroica_tigrina","Vermivora_ruficapilla"
6460,6620,"Orange-crowned Warbler","Blackburnian Warbler","Vermivora celata","Dendroica fusca","Parulidae",10,9,"Dendroica_fusca","Vermivora_celata"
6460,6790,"Orange-crowned Warbler","Mourning Warbler","Vermivora celata","Oporornis philadelphia","Parulidae",12.75,9,"Oporornis_philadelphia","Vermivora_celata"
6460,6600,"Orange-crowned Warbler","Bay-breasted Warbler","Vermivora celata","Dendroica castanea","Parulidae",12.75,9,"Dendroica_castanea","Vermivora_celata"
6460,6500,"Orange-crowned Warbler","Cape May Warbler","Vermivora celata","Dendroica tigrina","Parulidae",11,9,"Dendroica_tigrina","Vermivora_celata"
6460,6440,"Orange-crowned Warbler","Virginia's Warbler","Vermivora celata","Vermivora virginiae","Parulidae",8,9,"Vermivora_virginiae","Vermivora_celata"
6460,6450,"Orange-crowned Warbler","Nashville Warbler","Vermivora celata","Vermivora ruficapilla","Parulidae",9,9,"Vermivora_ruficapilla","Vermivora_celata"
6460,6470,"Orange-crowned Warbler","Tennessee Warbler","Vermivora celata","Vermivora peregrina","Parulidae",10.25,9,"Vermivora_peregrina","Vermivora_celata"
6460,6610,"Orange-crowned Warbler","Blackpoll Warbler","Vermivora celata","Dendroica striata","Parulidae",13,9,"Dendroica_striata","Vermivora_celata"
6470,6500,"Tennessee Warbler","Cape May Warbler","Vermivora peregrina","Dendroica tigrina","Parulidae",11,10.25,"Dendroica_tigrina","Vermivora_peregrina"
6470,6790,"Tennessee Warbler","Mourning Warbler","Vermivora peregrina","Oporornis philadelphia","Parulidae",12.75,10.25,"Oporornis_philadelphia","Vermivora_peregrina"
6470,6610,"Tennessee Warbler","Blackpoll Warbler","Vermivora peregrina","Dendroica striata","Parulidae",13,10.25,"Dendroica_striata","Vermivora_peregrina"
6470,6600,"Tennessee Warbler","Bay-breasted Warbler","Vermivora peregrina","Dendroica castanea","Parulidae",12.75,10.25,"Dendroica_castanea","Vermivora_peregrina"
6470,6460,"Tennessee Warbler","Orange-crowned Warbler","Vermivora peregrina","Vermivora celata","Parulidae",9,10.25,"Vermivora_celata","Vermivora_peregrina"
6470,6620,"Tennessee Warbler","Blackburnian Warbler","Vermivora peregrina","Dendroica fusca","Parulidae",10,10.25,"Dendroica_fusca","Vermivora_peregrina"
6470,6450,"Tennessee Warbler","Nashville Warbler","Vermivora peregrina","Vermivora ruficapilla","Parulidae",9,10.25,"Vermivora_ruficapilla","Vermivora_peregrina"
6480,6410,"Northern Parula","Blue-winged Warbler","Parula americana","Vermivora cyanoptera","Parulidae",8,9,"Vermivora_cyanoptera","Parula_americana"
6480,6390,"Northern Parula","Worm-eating Warbler","Parula americana","Helmitheros vermivorum","Parulidae",13,9,"Helmitheros_vermivorum","Parula_americana"
6500,6450,"Cape May Warbler","Nashville Warbler","Dendroica tigrina","Vermivora ruficapilla","Parulidae",9,11,"Vermivora_ruficapilla","Dendroica_tigrina"
6500,6600,"Cape May Warbler","Bay-breasted Warbler","Dendroica tigrina","Dendroica castanea","Parulidae",12.75,11,"Dendroica_castanea","Dendroica_tigrina"
6500,6470,"Cape May Warbler","Tennessee Warbler","Dendroica tigrina","Vermivora peregrina","Parulidae",10.25,11,"Vermivora_peregrina","Dendroica_tigrina"
6500,6620,"Cape May Warbler","Blackburnian Warbler","Dendroica tigrina","Dendroica fusca","Parulidae",10,11,"Dendroica_fusca","Dendroica_tigrina"
6500,6790,"Cape May Warbler","Mourning Warbler","Dendroica tigrina","Oporornis philadelphia","Parulidae",12.75,11,"Oporornis_philadelphia","Dendroica_tigrina"
6500,6460,"Cape May Warbler","Orange-crowned Warbler","Dendroica tigrina","Vermivora celata","Parulidae",9,11,"Vermivora_celata","Dendroica_tigrina"
6500,6610,"Cape May Warbler","Blackpoll Warbler","Dendroica tigrina","Dendroica striata","Parulidae",13,11,"Dendroica_striata","Dendroica_tigrina"
6520,6410,"Yellow Warbler","Blue-winged Warbler","Dendroica petechia","Vermivora cyanoptera","Parulidae",8,11.5,"Vermivora_cyanoptera","Dendroica_petechia"
6520,6450,"Yellow Warbler","Nashville Warbler","Dendroica petechia","Vermivora ruficapilla","Parulidae",9,11.5,"Vermivora_ruficapilla","Dendroica_petechia"
